year,month,logcpi,logip,ff,gs1,gs2,cm5yr,cm10yr,cm5f5,ebp,mortg_spread_m,cp3m_spread_m,ff_exp1yr
1984,5,463.9572,398.9998,10.32,11.66,12.47,13.172727,13.408636,13.64455,-.285679,.5299997,.7049999,11.1518
1984,6,464.1502,399.3539,11.06,12.08,12.91,13.476667,13.562857,13.64905,-.006005,.8599997,.9949998,11.49875
1984,7,464.5352,399.684,11.23,12.03,12.88,13.274762,13.362381,13.45,-.120269,1.31,.9549999,11.76699
1984,8,464.823,399.7602,11.64,11.82,12.43,12.684783,12.716087,12.74739,.221358,1.75,.5950002,11.79399
1984,9,465.1099,399.6007,11.3,11.58,12.2,12.532105,12.522632,12.51316,-.017891,1.83,.5550002,11.74875
1984,10,465.4912,399.4657,9.99,10.9,11.6,12.060909,12.160455,12.26,-.233755,1.97,.2650003,10.83407
1984,11,465.6813,399.8443,9.43,9.82,10.65,11.325263,11.572632,11.82,-.067831,2.070001,.3050002,10.10791
1984,12,465.8711,399.9486,8.38,9.33,10.18,11.0695,11.4995,11.9295,.001616,1.68,.2649993,9.227777
1985,1,466.0605,399.7064,8.35,9.02,9.93,10.932381,11.384286,11.83619,-.074955,1.7,.1549997,8.938925
1985,2,466.6265,400.132,8.5,9.29,10.17,11.131111,11.508889,11.88667,-.095078,1.41,.1549997,9.008245
1985,3,467.0958,400.2525,8.58,9.86,10.71,11.520476,11.855238,12.19,.138643,1.31,.2649993,9.197251
1985,4,467.2829,400.0103,8.27,9.14,10.09,11.006667,11.434762,11.86286,-.029021,1.77,.3050002,8.731902
1985,5,467.4696,400.1366,7.97,8.46,9.39,10.335909,10.846818,11.35773,-.194037,2.059999,.2350001,8.304227
1985,6,467.7491,400.2067,7.53,7.8,8.69,9.599,10.156,10.713,.212439,2.06,.2850003,7.904533
1985,7,467.935,399.5114,7.88,7.86,8.77,9.7,10.306818,10.91364,.134211,1.719999,.3650002,7.971657
1985,8,468.1205,399.9523,7.9,8.05,8.94,9.8095455,10.331818,10.85409,.146921,1.86,.4650001,7.969779
1985,9,468.3057,400.375,7.92,8.07,8.98,9.81,10.373158,10.93632,.250984,1.82,.6150002,7.958222
1985,10,468.675,399.9734,7.99,8.01,8.86,9.6886364,10.236818,10.785,.294745,1.900001,.5250005,8.023813
1985,11,469.1348,400.3154,8.05,7.88,8.58,9.2752632,9.7815789,10.2879,.29036,2,.4150004,7.870319
1985,12,469.5925,401.3395,8.27,7.67,8.15,8.7285714,9.2590476,9.789524,.032192,2,.5350003,7.760906
1986,1,469.9571,401.8288,8.14,7.73,8.14,8.6833333,9.1938095,9.704286,.338187,1.690001,.525,7.867182
1986,2,469.7749,401.0961,7.86,7.61,7.97,8.3357895,8.7042105,9.072632,-.28549,2.01,.4550003,7.877512
1986,3,469.2265,400.4648,7.48,7.03,7.21,7.46,7.7785,8.097,.58569,2.3,.525,7.387186
1986,4,468.8592,400.5333,6.99,6.44,6.7,7.0536364,7.2990909,7.544546,.54437,2.639999,.4250001,7.020638
1986,5,469.1348,400.708,6.85,6.65,7.07,7.5247619,7.7095238,7.894286,.030158,2.43,.355,6.960495
1986,6,469.5011,400.386,6.92,6.73,7.18,7.637619,7.7995238,7.961429,.022068,2.88,.3850002,6.884524
1986,7,469.5925,401.0294,6.56,6.27,6.67,7.0627273,7.3031818,7.543636,.773264,3.21,.3850002,6.517311
1986,8,469.6837,400.8137,6.17,5.93,6.33,6.802381,7.1657143,7.529047,.70852,3.03,.275,6.128381
1986,9,470.048,400.9872,5.89,5.77,6.35,6.9190476,7.447619,7.976191,.314005,2.56,.355,6.058384
1986,10,470.2297,401.4457,5.85,5.72,6.28,6.8322727,7.4263636,8.020454,.545463,2.54,.3850002,5.958682
1986,11,470.411,401.9075,6.04,5.8,6.28,6.755,7.2505556,7.746111,.669255,2.45,.2950005,5.803674
1986,12,470.7727,402.7786,6.91,5.87,6.27,6.6690909,7.1127273,7.556364,.699041,2.2,.4549999,5.885326
1987,1,471.3127,402.4543,6.43,5.78,6.23,6.635,7.0845,7.534,.554116,2.12,.2950005,5.967
1987,2,471.6712,403.7386,6.1,5.96,6.4,6.7921053,7.2505263,7.708947,.630779,1.83,.3450002,6.131075
1987,3,472.0283,403.8953,6.13,6.03,6.42,6.7931818,7.2486364,7.704091,.518992,1.79,.4549999,6.229204
1987,4,472.4729,404.4934,6.37,6.5,7.02,7.5742857,8.0228571,8.471429,-.384307,1.809999,.6950001,6.391521
1987,5,472.7388,405.175,6.85,7,7.76,8.2595,8.613,8.9665,.259175,1.990001,1.155,6.78332
1987,6,473.1803,405.699,6.73,6.8,7.57,8.0163636,8.4022727,8.788182,.244076,2.14,1.135,6.892
1987,7,473.4442,406.338,6.58,6.68,7.44,8.0081818,8.4468182,8.885454,.484995,1.83,.8450002,6.931528
1987,8,473.8827,407.0586,6.73,7.03,7.75,8.3228571,8.7604762,9.198095,.469987,1.57,.5550002,6.899856
1987,9,474.232,407.324,7.22,7.67,8.34,8.9428571,9.4219048,9.900952,.492706,1.47,.855,7.277841
1987,10,474.4932,408.8293,7.29,7.59,8.4,9.08,9.52,9.96,-.843692,1.74,1.645,7.060545
1987,11,474.8404,409.3584,6.69,6.96,7.69,8.3473684,8.8605263,9.373684,.264651,1.79,1.365,6.747029
1987,12,475.0136,409.8235,6.77,7.17,7.86,8.4513636,8.9877273,9.524091,.006715,1.66,1.725,6.874583
1988,1,475.359,409.8669,6.83,6.99,7.63,8.1778947,8.6657895,9.153685,-.181428,1.76,.9450001,6.862772
1988,2,475.5313,410.2716,6.58,6.64,7.18,7.7125,8.212,8.7115,.228407,1.68,.8050002,6.765491
1988,3,475.7891,410.508,6.58,6.71,7.27,7.833913,8.3734783,8.913043,-.04841,1.56,.8050002,6.872944
1988,4,476.3882,411.038,6.87,7.01,7.59,8.194,8.7185,9.243,.001875,1.48,.8350005,7.177296
1988,5,476.6438,410.9517,7.09,7.4,8,8.582381,9.0890476,9.595715,.049413,1.37,.815,7.38965
1988,6,477.0685,411.1965,7.51,7.49,8.03,8.4868182,8.9213636,9.355909,.093573,1.54,.9149999,7.676856
1988,7,477.4913,411.3269,7.75,7.75,8.28,8.655,9.056,9.457,-.230565,1.37,.9750003,7.932704
1988,8,477.9124,411.747,8.01,8.17,8.63,8.9365217,9.2604348,9.584348,-.014694,1.34,1.085001,8.274182
1988,9,478.3316,411.4033,8.19,8.09,8.46,8.6928571,8.9771429,9.261429,.146262,1.5,.8150005,8.3125
1988,10,478.6658,411.9257,8.3,8.11,8.35,8.5125,8.7955,9.0785,.236986,1.5,.775,8.269252
1988,11,478.9989,412.0978,8.35,8.48,8.67,8.7865,8.9625,9.1385,.101988,1.31,.7849998,8.323898
1988,12,479.3308,412.5323,8.76,8.99,9.09,9.0928571,9.1057143,9.118571,.23073,1.5,.9250001,8.739636
1989,1,479.7442,412.79,9.12,9.05,9.18,9.1485,9.0915,9.0345,.138146,1.639999,.6549997,8.839334
1989,2,480.0737,412.3722,9.36,9.25,9.37,9.2705263,9.1689474,9.067369,-.00409,1.48,.7250003,8.990914
1989,3,480.5659,412.6536,9.85,9.57,9.68,9.5140909,9.3577273,9.201364,.280599,1.67,1.015,9.58368
1989,4,481.2997,412.6931,9.84,9.36,9.45,9.295,9.1755,9.056,.50671,1.87,1.045001,9.43414
1989,5,481.7859,412.023,9.81,8.98,9.02,8.9095455,8.8590909,8.808637,.227865,1.910001,.9250001,9.160741
1989,6,482.1088,412.0848,9.53,8.44,8.41,8.2922727,8.2772727,8.262273,.408043,1.92,.8450002,8.653977
1989,7,482.4306,411.1171,9.24,7.89,7.82,7.8265,8.0185,8.2105,.641174,1.86,.6850004,8.446241
1989,8,482.4306,411.9796,8.99,8.18,8.14,8.0895652,8.1126087,8.135653,.352247,1.88,.5549998,8.329474
1989,9,482.6712,411.7239,9.02,8.22,8.28,8.1745,8.1905,8.2065,.373951,1.940001,.835,8.337704
1989,10,483.1509,411.616,8.84,7.99,7.98,7.9661905,8.007619,8.049047,.274534,1.94,.775,8.235172
1989,11,483.5488,411.918,8.55,7.77,7.8,7.8109524,7.8742857,7.937619,.463822,1.900001,.5450005,8.010597
1989,12,483.866,412.5047,8.45,7.72,7.78,7.7465,7.836,7.9255,.406334,1.9,.545,7.903888
1990,1,484.8116,411.8969,8.23,7.92,8.09,8.1195238,8.2066667,8.29381,.121781,1.69,.3450007,7.885314
1990,2,485.203,412.8269,8.24,8.11,8.37,8.4247368,8.4731579,8.521579,.241804,1.73,.2850007,7.976337
1990,3,485.6707,413.3629,8.28,8.35,8.63,8.6004545,8.5886364,8.576818,.349573,1.68,.2649998,8.052461
1990,4,485.9037,413.2314,8.26,8.4,8.72,8.768,8.7855,8.803,-.029281,1.58,.4150004,8.129068
1990,5,486.0587,413.4243,8.18,8.32,8.64,8.7359091,8.7581818,8.780455,-.071917,1.719999,.3950004,8.103958
1990,6,486.6765,413.7447,8.29,8.1,8.35,8.4304762,8.48,8.529524,.035864,1.68,.2950005,7.934663
1990,7,487.1373,413.5995,8.15,7.94,8.16,8.3309524,8.4714286,8.611905,.006528,1.57,.2550001,7.823613
1990,8,487.9767,413.8833,8.13,7.78,8.06,8.4365217,8.7526087,9.068696,-.269673,1.35,.3150005,7.505022
1990,9,488.6583,414.0822,8.2,7.76,8.08,8.5136842,8.8931579,9.272632,-.051052,1.29,.4850001,7.436941
1990,10,489.3352,413.3222,8.11,7.55,7.88,8.3277273,8.7195455,9.111363,.099413,1.46,.6950001,7.375253
1990,11,489.5598,412.1024,7.81,7.31,7.6,8.0225,8.392,8.761499,.258542,1.62,.7350001,7.172953
1990,12,489.9331,411.4036,7.31,7.05,7.31,7.7265,8.075,8.4235,.192606,1.59,.9450006,6.620313
1991,1,490.305,410.9627,6.91,6.64,7.13,7.7,8.0928571,8.485714,.22076,1.55,.7650003,6.371739
1991,2,490.3792,410.319,6.25,6.27,6.87,7.4726316,7.8547368,8.236842,.139982,1.52,.4349999,6.198341
1991,3,490.3792,409.7978,6.12,6.4,7.1,7.772,8.11,8.448,.095124,1.39,.3850002,6.049326
1991,4,490.6015,409.9621,5.91,6.24,6.95,7.7009091,8.0390909,8.377273,.092676,1.45,.3050002,6.006395
1991,5,490.9709,410.9627,5.78,6.13,6.78,7.7013636,8.0677273,8.434091,.106881,1.400001,.3450002,5.879275
1991,6,491.2655,411.9382,5.9,6.36,6.96,7.937,8.284,8.631,.033201,1.34,.4250001,5.923968
1991,7,491.4124,411.912,5.82,6.31,6.92,7.9113636,8.2727273,8.63409,.115509,1.309999,.3550004,5.967457
1991,8,491.7057,412.0612,5.66,5.78,6.43,7.425,7.9,8.375,.074946,1.34,.275,5.691246
1991,9,491.9981,412.929,5.45,5.57,6.18,7.136,7.65,8.164001,.088652,1.36,.2350006,5.317796
1991,10,492.144,412.7101,5.21,5.33,5.91,6.8713636,7.5272727,8.183182,.086014,1.329999,.2450003,5.251558
1991,11,492.5804,412.6021,4.81,4.89,5.56,6.6178947,7.4173684,8.216842,.095896,1.29,.3050002,4.858361
1991,12,492.8702,412.2368,4.43,4.38,5.03,6.1861905,7.0885714,7.990952,.02729,1.41,.4250001,4.196397
1992,1,492.9425,411.6077,4.03,4.15,4.96,6.2428571,7.032381,7.821905,-.038977,1.4,.1550004,4.06096
1992,2,493.1592,412.3853,4.06,4.29,5.21,6.5778947,7.3378947,8.097895,-.013052,1.42,.1550004,4.172689
1992,3,493.5193,413.1774,3.98,4.63,5.69,6.9454545,7.5422727,8.139091,-.03771,1.4,.1450004,4.271148
1992,4,493.7347,413.8881,3.73,4.3,5.34,6.7842857,7.4804762,8.176667,-.01459,1.37,.1750001,4.117424
1992,5,493.9497,414.2433,3.82,4.19,5.23,6.6925,7.392,8.0915,-.096207,1.28,.1350002,4.143621
1992,6,494.2357,414.2374,3.76,4.17,5.05,6.4827273,7.2618182,8.040909,-.148848,1.25,.1450002,4.142188
1992,7,494.5208,415.0985,3.25,3.6,4.36,5.8368182,6.8445455,7.852273,-.233425,1.29,.1150002,3.566844
1992,8,494.734,414.5967,3.3,3.47,4.19,5.5961905,6.5857143,7.575238,-.063198,1.39,.1350002,3.562861
1992,9,494.9469,414.8119,3.22,3.18,3.89,5.38,6.4152381,7.450476,.010572,1.5,.2150001,3.211039
1992,10,495.3712,415.5916,3.1,3.3,4.08,5.6004762,6.5890476,7.577619,.000714,1.5,.3550002,3.293936
1992,11,495.6531,416.0084,3.09,3.68,4.58,6.0378947,6.8731579,7.708421,.050682,1.440001,.4150001,3.369639
1992,12,495.7938,416.0321,2.92,3.71,4.67,6.0759091,6.77,7.464091,.082522,1.45,.3350002,3.40051
1993,1,496.1445,416.525,3.02,3.5,4.39,5.8336842,6.6,7.366316,.03413,1.420001,.1350002,3.398881
1993,2,496.3544,416.8922,3.03,3.39,4.1,5.4289474,6.2589474,7.088947,-.011742,1.42,.1350002,3.285161
1993,3,496.494,416.8546,3.07,3.33,3.95,5.1947826,5.9752174,6.755652,.000532,1.52,.1050002,3.25525
1993,4,496.8423,417.1552,2.96,3.24,3.84,5.1328571,5.9695238,6.80619,.005023,1.5,.1550004,3.280909
1993,5,497.1201,416.8035,3,3.36,3.98,5.198,6.0355,6.873,-.010239,1.43,.0650002,3.355333
1993,6,497.1895,417.0112,3.04,3.54,4.16,5.2168182,5.9627273,6.708636,-.092369,1.46,.0650002,3.369583
1993,7,497.3279,417.3179,3.06,3.47,4.07,5.0909524,5.8052381,6.519524,-.098521,1.4,.0450003,3.392444
1993,8,497.5353,417.2778,3.03,3.44,4,5.025,5.6777273,6.330454,-.126471,1.43,.0450003,3.299102
1993,9,497.6734,417.7493,3.09,3.36,3.85,4.7347619,5.36,5.985238,-.038514,1.56,.0950002,3.217553
1993,10,498.0863,418.4828,2.99,3.39,3.87,4.707,5.334,5.961,-.111725,1.5,.1250002,3.219667
1993,11,498.3607,418.8867,3.02,3.58,4.16,5.063,5.724,6.385,-.169558,1.44,.1850004,3.278
1993,12,498.5659,419.3894,2.96,3.61,4.21,5.1468182,5.7740909,6.401364,-.200074,1.4,.1850001,3.3015
1994,1,498.5659,419.7906,3.05,3.54,4.14,5.087,5.7505,6.414,-.269455,1.31,.0950002,3.327144
1994,2,498.839,419.8418,3.25,3.87,4.47,5.3952632,5.9731579,6.551053,-.459178,1.18,.1250002,3.58189
1994,3,499.1113,420.8644,3.34,4.32,5,5.9413043,6.4826087,7.023913,-.350492,1.2,.2350001,3.836704
1994,4,499.1792,421.3944,3.56,4.82,5.55,6.5242105,6.9721053,7.42,-.320025,1.35,.2550003,4.203666
1994,5,499.3828,421.942,4.01,5.31,5.97,6.78,7.1833333,7.586667,-.319522,1.420001,.3150005,4.487397
1994,6,499.6536,422.6045,4.25,5.27,5.93,6.6954545,7.1013636,7.507273,-.36392,1.3,.3150005,4.661848
1994,7,499.9911,422.7623,4.26,5.48,6.13,6.9095,7.298,7.6865,-.323668,1.309999,.3050002,4.821352
1994,8,500.3946,423.3295,4.47,5.56,6.18,6.8778261,7.236087,7.594348,-.296783,1.27,.2450003,5.059163
1994,9,500.5958,423.6468,4.73,5.76,6.39,7.0833333,7.4571429,7.830952,-.42854,1.18,.2850003,5.342197
1994,10,500.6627,424.516,4.76,6.11,6.73,7.403,7.744,8.085,-.326659,1.190001,.4450006,5.624531
1994,11,500.9301,425.1532,5.29,6.54,7.15,7.7175,7.955,8.1925,-.30399,1.21,.4050002,5.992881
1994,12,501.1302,426.1916,5.45,7.14,7.59,7.7761905,7.8138095,7.851429,-.253074,1.39,.5450005,6.429081
1995,1,501.3963,426.3864,5.53,7.05,7.51,7.756,7.7795,7.803,-.273132,1.369999,.3949999,6.467095
1995,2,501.6617,426.3228,5.92,6.7,7.11,7.3657895,7.4694737,7.573158,-.327196,1.36,.2650003,6.377916
1995,3,501.8604,426.4824,5.98,6.43,6.78,7.0473913,7.2047826,7.362174,-.329607,1.26,.3050002,6.348687
1995,4,502.2564,426.4395,6.05,6.27,6.57,6.86,7.0626316,7.265263,-.259701,1.26,.355,6.239611
1995,5,502.4538,426.7027,6.01,6,6.17,6.4145455,6.6327273,6.850909,-.401863,1.33,.275,6.109767
1995,6,502.6508,427.0672,6,5.64,5.72,5.9286364,6.1681818,6.407727,-.187211,1.4,.3550004,5.565625
1995,7,502.782,426.6815,5.85,5.59,5.78,6.0085,6.278,6.5475,-.346603,1.33,.2550001,5.500748
1995,8,502.9784,427.9903,5.74,5.75,5.98,6.243913,6.4882609,6.732609,-.248873,1.37,.3050002,5.486945
1995,9,503.1091,428.3589,5.8,5.62,5.81,6.0015,6.1975,6.3935,-.207413,1.44,.3449997,5.538265
1995,10,503.3701,428.1811,5.76,5.59,5.7,5.8628571,6.0447619,6.226666,-.178842,1.44,.4250001,5.454834
1995,11,503.5003,428.4396,5.8,5.43,5.48,5.6942857,5.9304762,6.166667,-.095936,1.45,.2649998,5.372
1995,12,503.6303,428.8258,5.6,5.31,5.32,5.5135,5.7115,5.9095,-.087709,1.49,.3850002,5.17449
1996,1,504.1488,428.1644,5.56,5.09,5.11,5.362381,5.652381,5.942381,-.116741,1.38,.2850003,5.068458
1996,2,504.3425,429.747,5.22,4.94,5.03,5.3795,5.8055,6.2315,-.330019,1.27,.2050003,4.919714
1996,3,504.6646,429.5916,5.31,5.34,5.66,5.9661905,6.2685714,6.570952,-.340443,1.35,.2350001,5.028598
1996,4,505.0497,430.4256,5.22,5.54,5.96,6.3009091,6.5113636,6.721818,-.294273,1.42,.3250002,5.164944
1996,5,505.2417,431.1198,5.24,5.64,6.1,6.4831818,6.7368182,6.990455,-.327362,1.33,.2550001,5.220153
1996,6,505.4333,432.0053,5.27,5.81,6.3,6.6895,6.912,7.1345,-.303977,1.41,.2849998,5.412755
1996,7,505.6246,431.873,5.4,5.85,6.27,6.6359091,6.8654545,7.095,-.373247,1.38,.2650003,5.521122
1996,8,505.7519,432.5219,5.22,5.67,6.03,6.3890909,6.6354545,6.881818,-.436534,1.36,.2550001,5.441871
1996,9,506.0695,433.0516,5.3,5.83,6.23,6.597,6.832,7.067,-.424425,1.4,.315,5.474713
1996,10,506.386,433.0558,5.24,5.55,5.91,6.2704545,6.5336364,6.796818,-.381406,1.39,.3250002,5.39557
1996,11,506.7016,433.8742,5.31,5.42,5.7,5.9731579,6.2036842,6.434211,-.349662,1.42,.2649998,5.286143
1996,12,506.9533,434.5137,5.29,5.47,5.78,6.0680952,6.302381,6.536667,-.442943,1.3,.4850006,5.290816
1997,1,507.1417,434.627,5.25,5.61,6.01,6.3333333,6.5790476,6.824762,-.350262,1.24,.3049998,5.333718
1997,2,507.3297,435.8319,5.19,5.53,5.9,6.1989474,6.4194737,6.64,-.485871,1.23,.2849999,5.338194
1997,3,507.3923,436.5974,5.39,5.8,6.22,6.537,6.6945,6.852,-.512084,1.21,.2950002,5.665662
1997,4,507.4549,436.6422,5.51,5.99,6.45,6.7590909,6.8854545,7.011818,-.438469,1.25,.4400002,5.790185
1997,5,507.4549,437.3299,5.5,5.87,6.28,6.567619,6.7109524,6.854286,-.436481,1.23,.5399999,5.719468
1997,6,507.6423,437.7813,5.56,5.69,6.09,6.3752381,6.4938095,6.612381,-.50729,1.2,.6250003,5.678192
1997,7,507.7671,438.3895,5.52,5.54,5.89,6.1209091,6.2204545,6.32,-.525862,1.28,.44,5.648085
1997,8,508.0161,439.7059,5.54,5.56,5.94,6.16,6.2985714,6.437143,-.501028,1.18,.3400002,5.654965
1997,9,508.2646,440.5731,5.54,5.52,5.88,6.1061905,6.2085714,6.310952,-.599141,1.22,.5300003,5.664583
1997,10,508.4505,441.2547,5.5,5.46,5.77,5.9281818,6.0295455,6.130909,-.47386,1.26,.5400003,5.669514
1997,11,508.5743,442.1395,5.52,5.46,5.71,5.8038889,5.875,5.946111,-.396917,1.33,.4600002,5.575993
1997,12,508.6361,442.4941,5.5,5.53,5.72,5.7731818,5.8086364,5.844091,-.453156,1.29,.5100002,5.504445
1998,1,508.7596,442.9876,5.56,5.24,5.36,5.416,5.5445,5.673,-.374018,1.45,.3800001,5.43301
1998,2,508.7596,443.0764,5.51,5.31,5.42,5.4926316,5.5747368,5.656842,-.353293,1.47,.3299999,5.422957
1998,3,508.7596,443.1419,5.49,5.39,5.56,5.6118182,5.6472727,5.682727,-.402522,1.48,.4299998,5.426182
1998,4,508.883,443.5221,5.45,5.38,5.56,5.6119048,5.637619,5.663333,-.476149,1.5,.5100002,5.425
1998,5,509.1293,444.1902,5.49,5.44,5.59,5.628,5.6525,5.677,-.435831,1.49,.48,5.465996
1998,6,509.2523,443.6049,5.56,5.41,5.52,5.5240909,5.4963636,5.468637,-.421874,1.5,.5,5.44948
1998,7,509.4977,443.179,5.54,5.36,5.46,5.4613636,5.4613636,5.461364,-.385605,1.49,.52,4.035514
1998,8,509.6201,445.2782,5.55,5.21,5.27,5.2747619,5.3419048,5.409048,-.040715,1.58,.58,5.388595
1998,9,509.6813,444.9563,5.51,4.71,4.67,4.6238095,4.8066667,4.989524,-.103384,1.91,.6999999,5.111667
1998,10,509.9257,445.7471,5.07,4.12,4.09,4.1842857,4.53,4.875714,.000441,2.18,1.08,4.542543
