,YER,PCR,GCR,ITR,XTR,MTR,YED,PCD,GCD,ITD,XTD,MTD,YFD,YIN,WIN,GON,TIN,YFN,HICP,HEX,HEG,HICPSYA,HEXSYA,HEGSYA,HEGWEI,CAN_YEN,NFN_YEN,LFN,LNN,UNN,URX,LEN,STN,LTN,COMPR,POILU,PCOMU,YWD,YWDX,YWR,YWRX,LPROD,ULC,WRN,SAX,EEN,EXR
1972Q3,826161.295620632,464471.232092114,148368.073394425,221900.046760901,124194.133836261,128660.237228269,0.192841039,0.193604947,0.175118457,0.198159030,0.245273144,0.240175547,0.170755098,159317.802678846,82651.990498372,58419.262099123,18246.550081352,141071.252597495,23.137480435,NA,NA,NA,NA,NA,NA,NA,NA,124806.960151995,122336.308077294,2470.652074701,0.019795788,96349.031353676,4.857332855,7.582787000,9.346495328,3.620000000,38.775653622,0.261309246,0.304593171,56.820005171,17969.742195471,6.753197874,0.100043407,0.675612921,0.286713529,1.487084112,0.892827420
1972Q4,838254.857244410,469163.844533966,150024.466144714,227176.322837250,130178.671793951,133047.056463227,0.196359765,0.197264405,0.176537661,0.200624990,0.254056062,0.245954185,0.174157028,164599.526421929,85444.988372203,60542.986466964,18611.551582762,145987.974839167,23.613430027,NA,NA,NA,NA,NA,NA,NA,NA,125169.177104681,122738.989340142,2430.187764540,0.019415225,96953.532225763,6.394842968,7.814683000,9.717542715,3.620000000,42.739387103,0.267108229,0.313745726,57.830698978,18232.363501904,6.829572752,0.101931993,0.696151963,0.294354673,1.486030889,0.903780556
1973Q1,854393.299151539,478985.193657000,152885.384766602,231956.924014912,131044.844478331,135484.659535153,0.202608019,0.201323332,0.186578201,0.206981905,0.257911836,0.252354017,0.179749784,173106.933902339,90097.742741885,63479.268637742,19529.922522712,153577.011379627,24.110070342,NA,NA,NA,NA,NA,NA,NA,NA,125486.112436590,123142.293788386,2343.818648204,0.018677913,97459.697960972,6.791362777,7.975847000,10.697165565,3.780000000,50.925358424,0.272272390,0.317199216,59.866119700,18771.676685982,6.938260389,0.105452305,0.731655550,0.290446824,1.464821312,0.865006786
1973Q2,864752.775325084,483872.516124600,153697.779165203,232184.519910638,137679.230716848,139338.354641340,0.207502977,0.206851747,0.188469883,0.213755302,0.260066388,0.260596636,0.184209992,179438.775384355,93482.748579205,65813.352879309,20142.673925841,159296.101458514,24.694433085,NA,NA,NA,NA,NA,NA,NA,NA,126368.644271054,123743.206014698,2625.438256355,0.020776026,97972.563267041,8.485433372,8.305181000,11.974741150,4.096670000,59.843758757,0.276239170,0.317456442,60.262068861,18941.329889114,6.988284878,0.108103439,0.755457625,0.286687100,1.428774406,0.816771046
1973Q3,876627.987277461,486369.741604248,154281.544388720,233452.696732536,139661.998958097,144664.341739224,0.213199864,0.212411907,0.195483729,0.221033689,0.273155003,0.268561654,0.189562331,186896.967361209,97556.488998596,68619.155567513,20721.322795100,166175.644566110,25.195933985,NA,NA,NA,NA,NA,NA,NA,NA,126591.028049173,124218.534550986,2372.493498186,0.018741403,98475.337240804,10.211200035,8.601933000,13.600493694,4.526670000,70.830193950,0.282179512,0.320414057,60.066598233,19044.873557666,7.057143207,0.111286076,0.785361777,0.289232980,1.329855906,0.768044830
1973Q4,886206.112258538,491201.659240107,156765.420250372,234164.138208000,139533.110773988,146402.269075492,0.217784719,0.219170645,0.201468153,0.228152844,0.286757401,0.286972194,0.193660479,193002.149159155,101767.255741785,69855.844779616,21379.048637755,171623.100521400,25.858817726,NA,NA,NA,NA,NA,NA,NA,NA,126907.768067180,124494.153701041,2413.614366138,0.019018650,98810.585759220,11.082562958,8.715926000,13.881397990,4.600000000,72.768976631,0.292488549,0.337184721,60.423768203,19178.408793273,7.118455654,0.114834748,0.817446062,0.287992545,1.355045254,0.803514045
1974Q1,894980.299269209,491711.354840585,159242.585986129,233362.053471120,147354.749886311,145231.321967402,0.225167109,0.227292895,0.210328474,0.238758527,0.308430661,0.334901526,0.200705876,201520.126342702,106129.224324430,73498.580516525,21892.321501747,179627.804840955,26.742569759,NA,NA,NA,NA,NA,NA,NA,NA,127048.163668965,124573.927867953,2474.235801013,0.019474786,99036.176282827,11.226946359,9.340291000,30.064238486,15.500000000,81.213452308,0.298706484,0.361516585,59.418758070,19147.196955147,7.184330739,0.118582749,0.851937690,0.284173763,1.415808450,0.866909238
1974Q2,896599.739499271,496360.668253544,160760.284202144,227160.386967147,144091.425168052,144838.015793913,0.233058024,0.235926767,0.218466358,0.249570565,0.330182418,0.367090577,0.207429660,208959.763738124,111671.413923025,74309.965262330,22978.384552769,185981.379185355,27.641467270,NA,NA,NA,NA,NA,NA,NA,NA,126966.162729238,124453.825873978,2512.336855261,0.019787452,99143.609313825,11.465486577,10.064460000,27.473021935,13.000000000,84.401672717,0.311490860,0.380262196,60.132223084,19327.063829314,7.204276230,0.124549907,0.897291932,0.287126162,1.390902084,0.828946612
1974Q3,902707.746934437,499581.930712791,162072.873445254,227373.293271371,148881.647581893,149123.506986743,0.241352768,0.243344804,0.226041327,0.261113148,0.343949522,0.380662599,0.215990039,217871.013308381,115996.053361478,78979.827927671,22895.132019232,194975.881289149,28.451096121,NA,NA,NA,NA,NA,NA,NA,NA,127033.188864365,124329.470247567,2703.718616799,0.021283561,99040.881261750,11.524151691,10.697890000,25.230210077,11.500000000,81.988965381,0.322624301,0.395370708,60.089054777,19380.101176992,7.260609614,0.128497904,0.932973117,0.288216381,1.392313345,0.838653680
1974Q4,888323.817458951,494775.356614251,163699.391444462,220683.908528711,144142.886612164,138388.986606843,0.249486670,0.251995846,0.234421442,0.269964532,0.356993643,0.390168679,0.223798069,221624.950876630,121041.620825002,77763.533868321,22819.796183308,198805.154693322,29.369092145,NA,NA,NA,NA,NA,NA,NA,NA,127272.382666285,123998.915468577,3273.467197708,0.025720169,98818.852065786,10.659780150,10.587160000,25.858357083,11.700000000,84.961765492,0.337570932,0.409222827,59.230105938,18929.134701913,7.163964411,0.136258444,0.976150641,0.289578731,1.371540902,0.825004699
1975Q1,880032.894485785,498025.270084769,165632.618813195,217553.508796873,140846.772822810,131993.592184047,0.255956223,0.257943496,0.238977881,0.275808070,0.356140829,0.385188014,0.230504902,225249.896016050,124454.819692516,78397.076204652,22398.000118882,202851.895897168,29.837978246,NA,NA,NA,NA,NA,NA,0.012379133,0.015402722,127198.670863470,123530.707128407,3667.963735063,0.028836494,98462.392490465,8.813935178,9.898517000,24.625416559,11.500000000,77.163550708,0.348191035,0.407017310,59.022180024,18757.482579546,7.124001108,0.141420645,1.007480833,0.291284784,1.316578827,0.775022375
1975Q2,884576.705638812,505041.712369888,167725.098553879,214554.712486527,140654.414927415,134263.387148980,0.262359237,0.263948407,0.247898747,0.280683198,0.357535157,0.382370534,0.236925946,232076.869366547,128691.309775672,80887.862658497,22497.696932379,209579.172434169,30.571048124,NA,NA,NA,NA,NA,NA,0.008533927,0.013055983,126819.740710433,122729.633912661,4090.106797772,0.032251342,97879.974855429,7.055312727,9.564944000,23.486352398,11.400000000,69.451504043,0.360731343,0.411504713,59.030211505,18845.130439330,7.207523378,0.145483494,1.048575684,0.291376892,1.298493937,0.770773306
1975Q3,892478.504737993,511189.383418182,170406.972035818,215369.625085389,142417.479902565,138308.821807593,0.267690147,0.269852441,0.254350821,0.285264407,0.361319510,0.387845023,0.241864647,238907.702433380,132957.975252482,82901.022850366,23048.704330533,215858.998102848,31.101087850,NA,NA,NA,NA,NA,NA,0.005169862,0.014312196,126681.654050387,122532.756961599,4148.897088788,0.032750576,97844.211666637,6.382283317,9.441747000,23.603889209,11.500000000,69.408419983,0.369767028,0.423097591,59.253547095,19014.358286067,7.283591154,0.148976109,1.085081072,0.284092339,1.336598536,0.830568022
1975Q4,901909.203154842,518128.113033914,171202.323255767,218855.040937994,145111.220667605,142976.108276651,0.273266513,0.275777447,0.260628434,0.291036776,0.364984530,0.398111702,0.246527776,246461.583032433,137134.555105089,85211.115056576,24115.912870768,222345.670161665,31.681160723,NA,NA,NA,NA,NA,NA,0.001404029,0.017459721,126990.712826437,122488.799572227,4501.913254210,0.035450728,98056.325214047,6.598864929,9.287379000,23.453473815,11.600000000,67.426553243,0.380826237,0.431456509,60.001134577,19292.746127521,7.363197340,0.152049180,1.119568120,0.280251816,1.342359736,0.850290753
1976Q1,916634.941925146,524890.316369832,172196.463861652,218867.006218712,150856.275275455,148801.152260135,0.278911762,0.282527101,0.265726047,0.298377576,0.373671082,0.408326092,0.251724435,255660.266850104,141409.016977236,89330.395734509,24920.854138358,230739.412711746,32.531609299,NA,NA,NA,NA,NA,NA,0.004821852,0.021988248,127109.014001117,122580.902194589,4528.111806528,0.035623845,98034.462648655,7.000773740,9.430772000,25.456930229,12.900000000,70.571689592,0.386584692,0.443767874,60.446559310,19513.310784754,7.477795689,0.154269721,1.153597456,0.274512052,1.369542963,0.869432691
1976Q2,928423.051306144,528623.311794609,173834.272893402,219542.885465129,154350.993056923,151652.027082110,0.290475809,0.292087498,0.275115362,0.311118901,0.391669634,0.431301012,0.261923565,269684.436978432,148329.532835782,94846.342159679,26508.561982972,243175.874995460,33.502235181,NA,NA,NA,NA,NA,NA,-0.004266717,0.014099474,127463.454716145,122876.729618879,4586.725097266,0.035984629,98480.892849322,8.567814704,10.104040000,26.491159867,12.950000000,77.508223184,0.394432818,0.462315942,60.832489924,19778.590187079,7.555727225,0.159765026,1.207140956,0.274616504,1.385667973,0.903619671
1976Q3,936238.621871992,532721.069112538,175781.078236362,218999.303492693,156848.856732744,153760.629808629,0.298577123,0.299833879,0.284224736,0.320874659,0.405512508,0.448672826,0.268921871,279539.434340248,155044.309622065,96730.731840656,27764.392877527,251775.041462721,34.050908651,NA,NA,NA,NA,NA,NA,0.006841908,0.026102314,127739.235890239,123168.171460808,4571.064429431,0.035784341,98920.345294830,9.348489961,10.325610000,27.158864843,13.150000000,80.610275474,0.400903395,0.475107084,61.352042227,19944.811244905,7.601303249,0.165603411,1.258801749,0.276618562,1.385471356,0.907726612
1976Q4,951276.093915200,538687.005553781,176996.779089889,224284.012987532,161464.473372606,157063.601509575,0.306253294,0.307904105,0.292220625,0.330285599,0.416367314,0.462590250,0.275957864,291331.437389000,160644.765282132,101867.353582583,28819.318524285,262512.118864715,34.968860697,NA,NA,NA,NA,NA,NA,0.001835803,0.020465998,127886.169806411,123130.554011376,4755.615795035,0.037186318,99176.940775239,9.205677893,10.435460000,27.699260196,13.560000000,80.868779832,0.410991875,0.481354844,62.230534719,20216.734862936,7.725751756,0.168872913,1.304670206,0.268697893,1.342085205,0.897869754
1977Q1,955197.592490870,539920.112043174,177556.504891003,226970.610436707,161510.630450891,153510.566339137,0.313507696,0.315742242,0.299264053,0.337666424,0.424594362,0.471404679,0.282909762,299461.796418527,165219.028065795,105015.695608665,29227.072744067,270234.723674460,35.912473997,NA,NA,NA,NA,NA,NA,0.009438758,0.022091779,128065.477207244,123247.099523422,4818.377683821,0.037624329,99414.859030810,10.214431834,10.310930000,30.200750654,14.450000000,91.252038190,0.418075601,0.492203054,62.516503224,20227.547361320,7.750264275,0.172968430,1.340551045,0.270888531,1.354595113,0.893153570
1977Q2,956484.600138738,546948.377824250,178368.952741073,223799.057081282,165309.007936591,155109.363334395,0.323190227,0.324388033,0.310129118,0.346436992,0.432055574,0.480782627,0.291777624,309126.474634571,172109.694028980,106971.110272834,30045.670332758,279080.804301814,36.829946281,NA,NA,NA,NA,NA,NA,0.010394565,0.020588479,128288.382908353,123263.122437423,5025.260470930,0.039171594,99367.358905828,9.371813595,10.223060000,30.573728805,14.450000000,94.095586123,0.428216769,0.502057282,62.977261347,20307.146672215,7.759697963,0.179939848,1.396278876,0.266911806,1.353863841,0.886369796
1977Q3,957236.243018938,551310.960551430,180696.645941771,224980.393104806,166633.193838727,157242.488284910,0.330186426,0.332352355,0.317763991,0.354450712,0.438154706,0.484332351,0.297636321,316066.414374788,176347.327189510,108560.946856151,31158.140329127,284908.274045661,37.576279572,NA,NA,NA,NA,NA,NA,0.018185699,0.028140904,128150.044585652,122929.985350438,5220.059235214,0.040733963,99526.809717865,8.998484223,10.084900000,28.862627547,14.280000000,82.936814691,0.435423569,0.510540120,63.637648145,20376.122758796,7.786840943,0.184225502,1.434534680,0.264223214,1.359522622,0.874754955
1977Q4,968686.073533559,556834.274440433,183582.515770573,227760.246103234,171854.888363508,157746.773798573,0.337578278,0.338800419,0.325124327,0.363803891,0.446651117,0.493203753,0.305171856,327007.376382378,181473.109900819,114142.617235275,31391.649246284,295615.727136094,38.201327106,NA,NA,NA,NA,NA,NA,0.014397455,0.017584304,128260.535803770,123015.232811816,5245.302991955,0.040895689,99640.118825074,9.129861310,9.980953000,27.905612758,14.050000000,78.111400019,0.444251137,0.522213650,64.133377035,20514.603629754,7.874521321,0.187339443,1.475208442,0.266375407,1.369948577,0.851982304
1978Q1,974915.017482930,558539.688407900,184639.782749208,228480.648489420,171111.780531943,154488.948942016,0.345584467,0.344561897,0.334114941,0.372382996,0.453068742,0.494895509,0.312683288,336915.486478221,187532.046721719,117307.586145234,32075.853611268,304839.632866953,38.879540232,NA,NA,NA,NA,NA,NA,0.020167342,0.016992920,128454.421496109,123195.324247642,5259.097248468,0.040941349,99682.555301725,8.057085300,9.716788000,27.778282045,14.000000000,77.637475363,0.452925276,0.528694727,64.422032765,20591.013308096,7.913571586,0.192357327,1.522233477,0.269669416,1.356452655,0.808144601
1978Q2,986038.770356119,564664.349218239,186194.951377283,230942.099075353,175495.589833462,159555.332268704,0.353931497,0.351928604,0.342109889,0.378809355,0.461286803,0.498492094,0.320579999,348990.177605431,192437.594257054,123666.713590671,32885.869757706,316104.307847724,39.699258072,NA,NA,NA,NA,NA,NA,0.016205509,0.012146002,128717.033922226,123299.274440825,5417.759481401,0.042090462,99814.781948944,7.909355931,9.575315000,27.791695501,13.893300000,78.628408733,0.462019656,0.538614892,65.695708298,20921.422048783,7.997117378,0.195162300,1.560735820,0.266455197,1.355950379,0.809348090
1978Q3,990656.826680895,568884.707022409,188486.952829769,231264.709975629,179089.157474076,164329.429334028,0.361896952,0.359973864,0.349634274,0.388837116,0.464321055,0.499209440,0.327949403,358515.686089189,198387.207457100,126498.107635077,33630.370997012,324885.315092177,40.334246668,NA,NA,NA,NA,NA,NA,0.015648682,0.012524512,129025.809223361,123469.938587559,5555.870635802,0.043060150,100067.687049228,9.172121063,9.576661000,27.993194737,13.980000000,79.317753687,0.469103811,0.548098693,66.223499081,21049.373568671,8.023465776,0.200258255,1.606765256,0.268998819,1.381386763,0.780292114
1978Q4,1002454.632912310,575291.384691068,190260.119848656,233340.837168882,180873.981956970,169864.459745700,0.369219976,0.367231404,0.357558631,0.399981491,0.472916655,0.505087231,0.335408508,370126.275330239,204229.613127817,132002.199782765,33894.462419657,336231.812910582,40.945646981,NA,NA,NA,NA,NA,NA,0.018631747,0.019328944,129326.173416500,123681.841392278,5644.332024222,0.043644159,100341.543820160,9.136764561,9.771184000,30.230368518,15.166700000,85.069123647,0.475856766,0.550540798,66.894248757,21301.022459573,8.105107602,0.203729532,1.651249778,0.266580629,1.339631988,0.745242923
1979Q1,1007574.702599770,579272.385187227,191898.456755669,229917.962329746,185638.878135709,170756.130300374,0.377438510,0.375534417,0.367368161,0.409032330,0.483184694,0.521854628,0.342578728,380297.494268462,211114.881907906,134058.778434231,35123.833926325,345173.660342137,41.896552659,NA,NA,NA,NA,NA,NA,0.027894447,0.026348321,129613.728359201,123966.347738459,5647.380620742,0.043570852,100629.744580132,7.697024631,9.729662000,37.824358859,21.400000000,88.880866140,0.485543851,0.558410198,66.952197305,21334.276047473,8.127808240,0.209527771,1.703001546,0.262755955,1.317194907,0.738499889
1979Q2,1023715.829624590,590296.108776542,193588.098104588,238968.651264172,186556.506098008,177381.565016724,0.386496583,0.384865939,0.377177240,0.420038234,0.501816563,0.543760272,0.351106198,395662.670073988,217138.807294809,142294.165199261,36229.697579918,359432.972494070,42.853421375,NA,NA,NA,NA,NA,NA,0.018674166,0.025841644,130219.306861127,124366.559463887,5852.747397239,0.044945312,101050.748628187,9.350466897,10.175860000,48.711070691,30.966700000,96.100754863,0.495245165,0.577427054,68.331606933,21800.798152913,8.231439657,0.212108479,1.745958144,0.254619888,1.326691633,0.750670533
1979Q3,1028938.107881030,588095.455709589,194955.097742887,240490.686590866,191637.494614606,180937.214131125,0.397743756,0.396720850,0.390495250,0.433643545,0.518370624,0.572573661,0.360287999,409253.707211106,226317.224031227,144396.828453054,38539.654726825,370714.052484281,43.880039446,NA,NA,NA,NA,NA,NA,0.010453253,0.020863996,130880.498592532,124845.377038021,6035.121554511,0.046111694,101551.545965246,11.022080144,10.599570000,53.918222393,35.750000000,99.867653327,0.513030520,0.594086478,68.101937849,21837.489269988,8.241699711,0.219952223,1.812780172,0.254940630,1.309740616,0.719858782
1979Q4,1038711.194164130,594092.387358645,195937.145816162,244267.559919277,192590.267803768,183883.612142009,0.408422911,0.408864651,0.401024245,0.447513740,0.535479064,0.602112154,0.370590333,424233.449342956,234425.944683538,150510.382629413,39297.122030005,384936.327312951,44.985963125,NA,NA,NA,NA,NA,NA,0.009400784,0.027293059,131138.221838540,125185.845861133,5952.375977407,0.045390092,101881.852439209,12.693692391,11.134740000,58.214383584,40.333300000,100.943910031,0.526269260,0.602127919,68.561863223,22069.908317639,8.297353323,0.225689245,1.872623403,0.250121108,1.257665268,0.711936650
1980Q1,1048514.732917080,599498.422171671,197704.929762058,246865.092228940,198776.215657264,188799.771318654,0.420395921,0.421719508,0.412351508,0.467180965,0.555066565,0.639000999,0.380649489,440791.316326083,243128.875423149,155987.722187303,41674.718715631,399116.597610453,46.534235086,NA,NA,NA,NA,NA,NA,0.002847530,0.026235493,131307.913524581,125289.619626391,6018.293898190,0.045833444,102185.039482987,12.735106889,12.090840000,58.331671680,38.916700000,107.042698020,0.538494444,0.621001495,69.272726957,22295.789265503,8.368727881,0.231879313,1.940534868,0.240630207,1.258049377,0.708656271
1980Q2,1043591.364738020,595831.877220477,199996.233483106,242719.756104828,190103.277329689,183719.931921309,0.431560196,0.433441514,0.427396290,0.482022153,0.570231290,0.667663451,0.391158837,450372.493966347,249259.981503223,158950.002997555,42162.509465569,408209.984500778,47.741793283,NA,NA,NA,NA,NA,NA,-0.003065363,0.028597865,131768.135398332,125532.738763885,6235.396634448,0.047320975,102098.876681970,13.237090305,12.314000000,56.571421536,38.216700000,101.885634647,0.553951105,0.641479493,68.413427175,22178.639503808,8.313300379,0.238848260,1.985617329,0.245928004,1.292419409,0.718867284
1980Q3,1042996.466622910,600146.930818764,201306.408250503,241779.748690529,187911.228517411,185140.681213826,0.441759555,0.444819407,0.440179841,0.494596519,0.580451641,0.676479305,0.400419668,460753.654887057,255937.186298604,161699.112978435,43117.355610019,417636.299277039,48.839467060,NA,NA,NA,NA,NA,NA,-0.005916310,0.029179360,132155.811502330,125599.089057870,6556.722444461,0.049613576,102200.484570399,12.239029243,12.247140000,53.836174175,34.800000000,103.589707762,0.569016083,0.654915430,68.450362825,22185.682842799,8.304172223,0.245386437,2.037731231,0.242347852,1.300953416,0.702625956
1980Q4,1043486.392209780,599816.995185945,202082.772595131,239649.668466847,189376.967806337,181844.448218345,0.451196348,0.457390410,0.454094271,0.506014294,0.595143014,0.700518504,0.408921589,470817.248903639,262785.313528300,163918.800091719,44113.135283620,426704.113620018,50.038743370,NA,NA,NA,NA,NA,NA,-0.001635453,0.029542295,132347.966999188,125580.711801176,6767.255198011,0.051132294,102073.559890105,12.663299259,12.836650000,58.063972540,39.633300000,102.961891351,0.583994339,0.684205708,68.638439137,22095.366931709,8.309288722,0.251833963,2.092561109,0.244619057,1.387083532,0.745127976
1981Q1,1044493.229017730,599390.432729256,207043.254889085,237278.285461610,192887.249966129,181854.954200824,0.461559284,0.469491662,0.466489831,0.520941473,0.617930371,0.743592261,0.419116851,482095.546687781,268393.722321188,169370.990883188,44330.833483405,437764.713204376,51.673186530,NA,NA,NA,NA,NA,NA,-0.010322709,0.022938429,132566.741514942,125520.098093687,7046.643421255,0.053155440,101988.500543726,13.432882044,13.362010000,56.488395583,39.116700000,98.029048124,0.596151447,0.724603801,69.028294802,22135.583224798,8.321322600,0.256960711,2.138252968,0.246461227,1.483104413,0.811117294
1981Q2,1047622.061846600,598695.287264736,205255.288715282,236957.264946486,201188.189531693,181914.510388970,0.475471072,0.484097034,0.480842217,0.537155868,0.641981233,0.780910330,0.431925593,498113.984587238,278210.799376328,174283.980945059,45619.204265851,452494.780321387,53.054637352,NA,NA,NA,NA,NA,NA,-0.002715131,0.023182312,132894.630670351,125252.883214358,7641.747455993,0.057502304,101784.044330520,15.507875288,14.522170000,51.525456202,35.210000000,91.212755666,0.604060706,0.762100089,69.035747816,22071.634542985,8.364055461,0.265564090,2.221192776,0.248129639,1.547533636,0.896791589
1981Q3,1050512.435591410,600700.821352180,206708.024825151,235290.888995888,209298.610052853,182559.196944882,0.489109779,0.498141391,0.495700886,0.550166891,0.659698168,0.810364847,0.443923773,513815.905550403,287235.408936600,179112.035126557,47468.461487246,466347.444063157,54.397898144,NA,NA,NA,NA,NA,NA,0.000379519,0.019580260,133159.184847851,125051.732047350,8107.452800500,0.060885419,101594.977704942,16.133415178,15.224630000,50.580476787,35.590000000,85.696940057,0.613162530,0.788695150,69.799468884,22132.086301964,8.400622833,0.273424092,2.296932671,0.246262724,1.570685888,0.968121442
